Case Total and Rate per 100000 - United States
Date generated: Mon Dec 07 2020 16:05:31 GMT+0800 (Taipei Standard Time)

Date,Total Cases,Rate per 100000
Dec 5 2020,14462527,4412.3
Dec 4 2020,14255535,4349.2
Dec 3 2020,14041436,4283.9
Dec 2 2020,13822249,4217
Dec 1 2020,13626022,4157.1
Nov 30 2020,13447627,4102.7
Nov 29 2020,13295605,4056.3
Nov 28 2020,13142997,4009.8
Nov 27 2020,12999664,3966
Nov 26 2020,12827266,3913.4
Nov 25 2020,12680353,3868.6
Nov 24 2020,12498734,3813.2
Nov 23 2020,12333452,3762.8
Nov 22 2020,12175921,3714.7
Nov 21 2020,12028081,3669.6
Nov 20 2020,11843490,3613.3
Nov 19 2020,11650817,3554.5
Nov 18 2020,11465722,3498
Nov 17 2020,11300635,3447.7
Nov 16 2020,11136253,3397.5
Nov 15 2020,10984398,3351.2
Nov 14 2020,10846373,3309.1
Nov 13 2020,10689535,3261.2
Nov 12 2020,10508205,3205.9
Nov 11 2020,10349975,3157.6
Nov 10 2020,10205975,3113.7
Nov 9 2020,10069186,3072
Nov 8 2020,9945731,3034.3
Nov 7 2020,9840437,3002.2
Nov 6 2020,9746273,2973.5
Nov 5 2020,9612419,2932.6
Nov 4 2020,9493937,2896.5
Nov 3 2020,9386490,2863.7
Nov 2 2020,9297682,2836.6
Nov 1 2020,9211074,2810.2
Oct 31 2020,9141332,2788.9
Oct 30 2020,9052330,2761.8
Oct 29 2020,8952153,2731.2
Oct 28 2020,8861629,2703.6
Oct 27 2020,8779014,2678.4
Oct 26 2020,8706283,2656.2
Oct 25 2020,8642306,2636.7
Oct 24 2020,8579063,2617.4
Oct 23 2020,8495105,2591.7
Oct 22 2020,8411559,2566.3
Oct 21 2020,8336927,2543.5
Oct 20 2020,8272982,2524
Oct 19 2020,8212184,2505.4
Oct 18 2020,8151741,2487
Oct 17 2020,8104622,2472.6
Oct 16 2020,8051012,2456.3
Oct 15 2020,7980546,2434.8
Oct 14 2020,7916836,2415.3
Oct 13 2020,7856598,2396.9
Oct 12 2020,7808807,2382.4
Oct 11 2020,7761914,2368.1
Oct 10 2020,7715965,2354
Oct 9 2020,7662305,2337.7
Oct 8 2020,7603628,2319.8
Oct 7 2020,7548244,2302.9
Oct 6 2020,7494896,2286.6
Oct 5 2020,7454844,2274.4
Oct 4 2020,7414935,2262.2
Oct 3 2020,7378216,2251
Oct 2 2020,7328726,2235.9
Oct 1 2020,7278305,2220.5
Sep 30 2020,7231001,2206.1
Sep 29 2020,7185486,2192.2
Sep 28 2020,7146345,2180.3
Sep 27 2020,7112194,2169.8
Sep 26 2020,7075706,2158.7
Sep 25 2020,7025784,2143.5
Sep 24 2020,6979110,2129.2
Sep 23 2020,6936361,2116.2
Sep 22 2020,6894745,2103.5
Sep 21 2020,6844885,2088.3
Sep 20 2020,6805331,2076.2
Sep 19 2020,6767916,2064.8
Sep 18 2020,6725373,2051.8
Sep 17 2020,6676119,2036.8
Sep 16 2020,6631891,2023.3
Sep 15 2020,6589728,2010.4
Sep 14 2020,6554934,1999.8
Sep 13 2020,6520440,1989.3
Sep 12 2020,6484963,1978.5
Sep 11 2020,6444440,1966.1
Sep 10 2020,6397888,1951.9
Sep 9 2020,6359970,1940.3
Sep 8 2020,6326674,1930.2
Sep 7 2020,6303153,1923
Sep 6 2020,6276835,1915
Sep 5 2020,6242500,1904.5
Sep 4 2020,6197032,1890.6
Sep 3 2020,6147346,1875.5
Sep 2 2020,6102272,1861.7
Sep 1 2020,6062094,1849.5
Aug 31 2020,6018299,1836.1
Aug 30 2020,5985833,1826.2
Aug 29 2020,5947309,1814.4
Aug 28 2020,5903780,1801.2
